common name,species,genus,family
balsam fir,Abies balsamea,,
maple,Acer,,
mt. maple,Acer ginnala,,
amur maple,Acer ginnala,,
amoor maple,Acer ginnala,,
man maple,Acer negundo,,
man. maple,Acer negundo,,
manitoba maple,Acer negundo,,
g.m,Acer negundo,,
manitoban maple,Acer negundo,,
silver maple,Acer saccharinum,,
sugar maple,Acer saccharum,,
chokeberry,Aronia,,
aster,Aster,,
barberry,Berberis,,
burberry,Berberis,,
birch,Betula,,
w. birch,Betula papyrifera,,
wht birch,Betula papyrifera,,
wht. birch,Betula papyrifera,,
wp. birch,Betula papyrifera,,
white birch,Betula papyrifera,,
paper birch,Betula papyrifera,,
p.b,Betula papyrifera,,
weeping paper birch,Betula papyrifera,,
weeping white birch,Betula papyrifera,,
european birch,Betula pendula,,
cut leaf wpg birch,Betula pendula,,
cut leaf wpg. birch,Betula pendula 'Laciniata,,
weeping birch,Betula pendula 'Youngii',,
caragana,Caragana arborescens,,
dogwood,Cornus,,
variegated dogwood,Cornus alba 'Elegantissima',,
red osier dogwood,Cornus sericea,,
red dogwood,Cornus sericea,,
red-o-dogwood,Cornus sericea,,
redosier dogwood,Cornus sericea,,
r wood,Cornus sericea,,
redozier dogwood,Cornus sericea,,
cotoneaster,Cotoneaster,,
cotone aster hedge,Cotoneaster,,
cotoneaster hedge,Cotoneaster,,
cotone aster,Cotoneaster,,
hawthorn,Crataegus,,
russian olive,Elaeagnus angustifolia,,
-548,error,,
greenash(478),error,,
green ash (477),error,,
green ash (549),error,,
green ash 206,error,,
balsam poplar green ash,error,,
cottonwood colorado spruce,error,,
green ash manitoba maple,error,,
manitoba maple green ash,error,,
white spruce green ash,error,,
willow green ash,error,,
russian almond choke cherry,error,,
scotch pine juniper,error,,
lilac schubert choke cherry,error,,
driveway mountain ash,error,,
black poplar basswood,error,,
choke cherry weeping birch,error,,
driveway / green ash,error,,
greenash am. elm,error,,
greenash weeping birch,error,,
green ash white spruce,error,,
green ash willow,error,,
maple current,error,,
mugo pine cedar,error,,
white spruce weeping birch,error,,
russian olive am elm,error,,
russian olive am. elm,error,,
a.b,error,,
amer. elm white birch,error,,
american elm man. maple,error,,
american elm white spruce,error,,
balsam poplar white birch,error,,
cedar white birch,error,,
colorado spruce green ash,error,,
crab apple green ash,error,,
fire hydrant am. elm,error,,
larch american elm,error,,
manitoba maple am. elm,error,,
mountain ash oak,error,,
mugho pine green ash,error,,
white birch green ash,error,,
white spruce white birch,error,,
x,error,,
green ash elm,error,,
american elm green ash,error,,
apple mountain ash,error,,
apple white spruce pvt,error,,
green ash manchurian elm,error,,
manitoba maple l.l. linden,error,,
mugo pine colorado spruce,error,,
scotch pine colorado spruce,error,,
scotch pine pvt maple,error,,
scotch pine pvt white spruce,error,,
barbell,Berberis,,
chokecherry lilac,error,,
colorado,Picea pungens,,
colorado spruce white spruce,error,,
mountain ash apple,error,,
mountain ash green ash,error,,
underline,error,,
green ash man. maple,error,,
green maple ash,error,,
h. suckle aster,error,,
jack mugo pine,error,,
weeping birch green ash,error,,
0,error,,
am elm no room,error,,
am intndah ot room for city tree,error,,
am-elm,Ulmus americana,,
american elm #2 gr. ash,error,,
american elm amur maple,error,,
american elm crab apple,error,,
american elm not city,error,,
american elm not ours,error,,
american elm removed,error,,
american elm silver maple,error,,
american elm weeping birch,error,,
bantea aster,error,,
black ash / green ash,error,,
buffalo berry white spruce,error,,
bus stop am. elm,error,,
busstop am. elm,error,,
caragana mountain ash,error,,
chokecherry weeping birch,error,,
colorado spruce crab apple,error,,
cotoneaster am. elm,error,,
current,Ribes,,
drive way,error,,
driveway col blue spruce,error,,
driveway no tree,error,,
fire kychan t,error,,
flow crab,Malus,,
flowering crab,Malus,,
green ash 2 driveway 3 red berry elder,error,,
green ash american elm,error,,
green ash driveway,error,,
green ash lamp,error,,
green ash top died back,error,,
green aster,Aster,,
green manitoba maple,error,,
greenash - removal,error,,
jack scots pine,error,,
lomb pop,error,,
man. toba maple,error,,
manchurian american elm,error,,
manchurian elm apple,error,,
manchurian elm on atkinson,error,,
manchurian elm white spruce,error,,
may day cut lf wpg birch,error,,
mayday tree,Prunus padus,,
mercom,error,,
mount. ash,Sorbus americana,,
mountain ash colorado spruce,error,,
mountain green ash,error,,
mt. ash,Sorbus americana,,
mtn ash,Sorbus americana,,
mungo pine,Pinus mugo,,
no form,error,,
no room gr ash,error,,
no room white birch,error,,
no room white spruce,error,,
no such,error,,
no tree,vacant,,
osier dogwood,Cornus sericea,,
parking area,utility,,
patmore ash june 90,error,,
pavement,utility,,
poplar white birch,error,,
prickly ash,error,,
red o. dogwood,Cornus sericea,,
removal,error,,
royalty crab,error,,
royalty fl crab,error,,
russian almond crab apple,error,,
russian almond green ash,error,,
russian olive white spruce,error,,
schubert cherry,Prunus virginiana 'Schubert',,
schubert chokecherry,Prunus virginiana 'Schubert',,
seware,error,,
shubert cc,Prunus virginiana 'Schubert',,
shubert ch cherry,Prunus virginiana 'Schubert',,
shubert vacant,error,,
sib elm green ash,error,,
sign post,utility,,
silver poplar,Populus alba,,
t. child pl. crab,error,,
vacant colorado spruce,error,,
vacant mountain ash,error,,
vacant weeping birch,error,,
weeping birch driveway,error,,
weeping birch willow,error,,
white birch mayday,error,,
white green spruce ash,error,,
white pine removed,error,,
white pine weeping birch,error,,
white poplar,Populus tremuloides,,
white spruce american elm,error,,
white spruce colorado,error,,
white spruce cotoneaster,error,,
white spruce mugho pine,error,,
white spruce poplar,error,,
white? spruce,Picea glauca,,
wpg birch,Betula pendula,,
ash,Fraxinus,,
european ash,Fraxinus excelsior,,
manchurian ash,Fraxinus mandshurica,,
blackash,Fraxinus nigra,,
black ash,Fraxinus nigra,,
b.a,Fraxinus nigra,,
g.a,Fraxinus pennsylvanica,,
greenash,Fraxinus pennsylvanica,,
green ash,Fraxinus pennsylvanica,,
g. ash,Fraxinus pennsylvanica,,
gr. ash,Fraxinus pennsylvanica,,
american green ash,Fraxinus pennsylvanica,,
gr ash,Fraxinus pennsylvanica,,
bergeson ash,Fraxinus pennsylvanica 'Bergeson',,
bergerson ash,Fraxinus pennsylvanica 'Bergeson',,
p.a,Fraxinus pennsylvanica 'Patmore',,
patmore ash,Fraxinus pennsylvanica 'Patmore',,
putmore ash,Fraxinus pennsylvanica 'Patmore',,
ginkgo,Ginkgo biloba,,
honey locust,Gleditsia triacanthos,,
low juniper,Juniperus,,
juniper,Juniperus,,
larch,Larix,,
tamarack,Larix laricina,,
honey suckle,Lonicera,,
honeysuckle,Lonicera,,
apple,Malus,,
crab apple,Malus,,
flowering crab apple,Malus,,
royalty flow. crab,Malus,,
mulberry,Morus,,
spruce,Picea,,
norway,Picea abies,,
wh. spruce,Picea glauca,,
wht spruce,Picea glauca,,
wht. spruce,Picea glauca,,
wht-spruce,Picea glauca,,
w.p. spruce,Picea glauca,,
white spruce,Picea glauca,,
colorado white spruce,Picea glauca,,
whitespruce,Picea glauca,,
colorado spruce,Picea pungens,,
white colorado spruce,Picea pungens,,
colorado blue spruce,Picea pungens,,
col spruce,Picea pungens,,
col. spruce,Picea pungens,,
blue spruce,Picea pungens,,
col blue spruce,Picea pungens,,
blue col spruce,Picea pungens,,
blue col. spruce,Picea pungens,,
col. blue spruce,Picea pungens,,
pine,Pinus,,
jack pine,Pinus banksiana,,
jackpine,Pinus banksiana,,
lodgepole pine,Pinus contorta,,
mugho pine,Pinus mugo,,
mugo pine,Pinus mugo,,
weymouth pine,Pinus strobus,,
white pine,Pinus strobus,,
scots pine,Pinus sylvestris,,
s.c,Pinus sylvestris,,
sc,Pinus sylvestris,,
scotch pine,Pinus sylvestris,,
scot pine,Pinus sylvestris,,
poplar,Populus,,
russian poplar,Populus,,
bolleana poplar,Populus alba 'Bolleana',,
bulleana poplar,Populus alba 'Bolleana',,
boleana poplar,Populus alba 'Bolleana',,
balsam poplar,Populus balsamifera,,
cottonwood,Populus deltoides,,
plains cottonwood,Populus deltoides,,
large tooth aspen,Populus grandidentata,,
black poplar,Populus nigra,,
black poplar?,Populus nigra,,
trembling aspen,Populus tremuloides,,
tremb aspen,Populus tremuloides,,
northwest poplar,Populus x jackii 'Northwest',,
nw poplar,Populus x jackii 'Northwest',,
potentilla,Potentilla,,
plum,Prunus,,
cherry,Prunus,,
pt. amygd,Prunus amygdalus,,
amur cherry,Prunus maackii,,
mayday,Prunus padus,,
may day,Prunus padus,,
pin cherry,Prunus pensylvanica,,
russian almond,Prunus tenella,,
ch. cherry,Prunus virginiana,,
dr. cherry,Prunus virginiana,,
choke cherry,Prunus virginiana,,
chokecherry,Prunus virginiana,,
shubert c.c,Prunus virginiana 'Schubert',,
shubert ch. cherry,Prunus virginiana 'Schubert',,
shubert chokecherry,Prunus virginiana 'Schubert',,
shubert,Prunus virginiana 'Schubert',,
shubert cherry,Prunus virginiana 'Schubert',,
shubert choke cherry,Prunus virginiana 'Schubert',,
choke cherry schubert,Prunus virginiana 'Schubert',,
douglas fir,Pseudotsuga menziesii,,
oak,Quercus,,
bur oak,Quercus macrocarpa,,
removed,removed,,
currant,Ribes,,
ribes,Ribes,,
rose,Rosa,,
prickley rose,Rosa,,
rose bush,Rosa,,
willow,Salix,,
weeping willow,Salix babylonica,,
beaked willow,Salix bebbiana,,
shining willow,Salix lucida,,
laurel willow,Salix pentandra,,
laurel leaf willow,Salix pentandra,,
elderberry,Sambucus,,
elder,Sambucus,,
red berried elder,Sambucus racemosa,,
buffaloberry,Shepherdia,,
buffalo berry,Shepherdia argentea,,
m. ash,Sorbus aucuparia,,
mnt ash,Sorbus aucuparia,,
mnt. ash,Sorbus aucuparia,,
moun. ash,Sorbus aucuparia,,
mountain ash,Sorbus aucuparia,,
m.a,Sorbus aucuparia,,
mount ash,Sorbus aucuparia,,
spirea,Spiraea,,
greenash dead,status error,,
greenash removed,status error,,
crabapple removed,status error,,
chokecherry removed,status error,,
weeping willow removed,status error,,
american elm dead,status error,,
am elm removed,status error,,
patmore ash (246),status error,,
patmore ash fall 92,status error,,
no room green ash,status error,,
cotoneaster driveway,status error,,
am. elm fall 84,status error,,
green ash 67; fall 92,status error,,
green ash 67i fall 92,status error,,
green ash gone,status error,,
green ash removed,status error,,
honeysuckle removed,status error,,
paper birch removed,status error,,
potentilla no room,status error,,
american elm on borden side,status error,,
american elm on edgar street (2600 block),status error,,
cotoneaster no tree,status error,,
american elm (p?),Ulmus americana,,
green ash (d?),Fraxinus pennsylvanica,,
root birch,status error,,
white spruce pvt,status error,,
soft kernel elder removed,status error,,
dead gr. ash,status error,,
green ash dead,status error,,
vacant no room,status error,,
lilac,Syringa vulgaris,,
ceder,Thuja occidentalis,,
cedar,Thuja occidentalis,,
linden,Tilia,,
american basswood,Tilia americana,,
am linden,Tilia americana,,
basswood,Tilia americana,,
lit. linden,Tilia cordata,,
l.l. linden,Tilia cordata,,
little leaf linden,Tilia cordata,,
greenspire linden,Tilia cordata 'Greenspire',,
elm,Ulmus,,
manitoba elm,Ulmus,,
am elm,Ulmus americana,,
am. elm,Ulmus americana,,
amer. elm,Ulmus americana,,
american elm,Ulmus americana,,
amer elm,Ulmus americana,,
am. elm/linwood,Ulmus americana,,
manchurian elm,Ulmus laciniata,,
machurian elm,Ulmus laciniata,,
manch,Ulmus laciniata,,
man. elm,Ulmus laciniata,,
manch elm,Ulmus laciniata,,
manthurian elm,Ulmus laciniata,,
elm manchurian,Ulmus laciniata,,
siberian elm,Ulmus pumila,,
vacant,vacant,,
vac,vacant,,
weigela,Weigela florida,,
no room,no room,,
argyle park housing co-op argyle st. n,utility,,
argyle st north shopping centre,utility,,
lamps,utility,,
bus stop,utility,,
driveby,utility,,
driveway,utility,,
fence,utility,,
fire hydrant,utility,,
guideline,utility,,
light,utility,,
light pole,utility,,
light standard,utility,,
pole,utility,,
sidewalk,utility,,
sign,utility,,
standard,utility,,
street light,utility,,
traffic light,utility,,
traffic sign,utility,,
water line,utility,,
waterline,utility,,
bus stop sign,utility,,
hydrant,utility,,
street lite,utility,,
telephone pole,utility,,
guide line,utility,,
lampost,utility,,
lamppost,utility,,
manhole,utility,,
parking lot entrance,utility,,
right standard,utility,,
sewer,utility,,
stones,utility,,
wishing well,utility,,
lamp,utility,,
address,utility,,
no,error,,
such,error,,
